FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19630621,121313,-4.9,-81.2,45,4.6,20223006,POINT (-81.2 -4.9),,,,,
19630624,12103,-15.3,-69.4,179,4.5,20223006,POINT (-69.4 -15.3),199.0,PUNO,MOHO,HUAYRAPATA,210903
19630625,104531,-15.9,-75.2,33,4.7,20223006,POINT (-75.2 -15.9),,,,,
19630627,131515,-11.7,-77.6,33,4.7,20223006,POINT (-77.6 -11.7),,,,,
19630630,110949,-7.3,-75.2,43,4.8,20223006,POINT (-75.2 -7.3),567.0,LORETO,UCAYALI,CONTAMANA,160601
19630630,124356,-8.8,-77.9,94,4.7,20223006,POINT (-77.9 -8.8),333.0,ANCASH,HUAYLAS,HUALLANCA,021202
19630705,54813,-11.6,-77.5,55,6.0,20223006,POINT (-77.5 -11.6),,,,,
19630705,142924,-3.2,-77.8,65,4.7,20223006,POINT (-77.8 -3.2),1348.0,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403
19630710,114735,-16.3,-72.2,90,4.6,20223006,POINT (-72.2 -16.3),1803.0,AREQUIPA,CAYLLOMA,MAJES,040520
19630722,163322,-12.5,-73.7,79,4.9,20223006,POINT (-73.7 -12.5),955.0,CUSCO,LA CONVENCION,KIMBIRI,080907
19630726,234826,-9.7,-78.5,62,5.3,20223006,POINT (-78.5 -9.7),,,,,
19630801,183026,-15.0,-71.8,100,4.6,20223006,POINT (-71.8 -15),1656.0,AREQUIPA,CAYLLOMA,CAYLLOMA,040505
19630804,120724,-4.1,-80.9,34,5.1,20223006,POINT (-80.9 -4.1),450.0,TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,240203
19630805,84659,-9.9,-79.0,31,5.2,20223006,POINT (-79 -9.9),,,,,
19630815,143601,-10.0,-78.6,80,4.9,20223006,POINT (-78.6 -10),,,,,
19630815,172506,-13.8,-69.3,543,7.8,20223006,POINT (-69.3 -13.8),1789.0,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,211210
19630818,230754,-14.2,-71.9,31,5.0,20223006,POINT (-71.9 -14.2),581.0,CUSCO,CHUMBIVILCAS,CHAMACA,080703
19630827,125655,-17.7,-70.1,158,4.7,20223006,POINT (-70.1 -17.7),1748.0,TACNA,TARATA,ESTIQUE,230403
